county,CountyName,CountyName2,County_pop,afact
County code,,County name,Total population (2020 Census),county-to-county allocation factor
39001,Adams,Adams  ,27477,1
39003,Allen,Allen  ,102206,1
39005,Ashland,Ashland  ,52447,1
39007,Ashtabula,Ashtabula  ,97574,1
39009,Athens,Athens  ,62431,1
39011,Auglaize,Auglaize  ,46422,1
39013,Belmont,Belmont  ,66497,1
39015,Brown,Brown  ,43676,1
39017,Butler,Butler  ,390357,1
39019,Carroll,Carroll  ,26721,1
39021,Champaign,Champaign  ,38714,1
39023,Clark,Clark  ,136001,1
39025,Clermont,Clermont  ,208601,1
39027,Clinton,Clinton  ,42018,1
39029,Columbiana,Columbiana  ,101877,1
39031,Coshocton,Coshocton  ,36612,1
39033,Crawford,Crawford  ,42025,1
39035,Cuyahoga,Cuyahoga  ,1264817,1
39037,Darke,Darke  ,51881,1
39039,Defiance,Defiance  ,38286,1
39041,Delaware,Delaware  ,214124,1
39043,Erie,Erie  ,75622,1
39045,Fairfield,Fairfield  ,158921,1
39047,Fayette,Fayette  ,28951,1
39049,Franklin,Franklin  ,1323807,1
39051,Fulton,Fulton  ,42713,1
39053,Gallia,Gallia  ,29220,1
39055,Geauga,Geauga  ,95397,1
39057,Greene,Greene  ,167966,1
39059,Guernsey,Guernsey  ,38438,1
39061,Hamilton,Hamilton  ,830639,1
39063,Hancock,Hancock  ,74920,1
39065,Hardin,Hardin  ,30696,1
39067,Harrison,Harrison  ,14483,1
39069,Henry,Henry  ,27662,1
39071,Highland,Highland  ,43317,1
39073,Hocking,Hocking  ,28050,1
39075,Holmes,Holmes  ,44223,1
39077,Huron,Huron  ,58565,1
39079,Jackson,Jackson  ,32653,1
39081,Jefferson,Jefferson  ,65249,1
39083,Knox,Knox  ,62721,1
39085,Lake,Lake  ,232603,1
39087,Lawrence,Lawrence  ,58240,1
39089,Licking,Licking  ,178519,1
39091,Logan,Logan  ,46150,1
39093,Lorain,Lorain  ,312964,1
39095,Lucas,Lucas  ,431279,1
39097,Madison,Madison  ,43824,1
39099,Mahoning,Mahoning  ,228614,1
39101,Marion,Marion  ,65359,1
39103,Medina,Medina  ,182470,1
39105,Meigs,Meigs  ,22210,1
39107,Mercer,Mercer  ,42528,1
39109,Miami,Miami  ,108774,1
39111,Monroe,Monroe  ,13385,1
39113,Montgomery,Montgomery  ,537309,1
39115,Morgan,Morgan  ,13802,1
39117,Morrow,Morrow  ,34950,1
39119,Muskingum,Muskingum  ,86410,1
39121,Noble,Noble  ,14115,1
39123,Ottawa,Ottawa  ,40364,1
39125,Paulding,Paulding  ,18806,1
39127,Perry,Perry  ,35408,1
39129,Pickaway,Pickaway  ,58539,1
39131,Pike,Pike  ,27088,1
39133,Portage,Portage  ,161791,1
39135,Preble,Preble  ,40999,1
39137,Putnam,Putnam  ,34451,1
39139,Richland,Richland  ,124936,1
39141,Ross,Ross  ,77093,1
39143,Sandusky,Sandusky  ,58896,1
39145,Scioto,Scioto  ,74008,1
39147,Seneca,Seneca  ,55069,1
39149,Shelby,Shelby  ,48230,1
39151,Stark,Stark  ,374853,1
39153,Summit,Summit  ,540428,1
39155,Trumbull,Trumbull  ,201977,1
39157,Tuscarawas,Tuscarawas  ,93263,1
39159,Union,Union  ,62784,1
39161,Van Wert,Van Wert  ,28931,1
39163,Vinton,Vinton  ,12800,1
39165,Warren,Warren  ,242337,1
39167,Washington,Washington  ,59771,1
39169,Wayne,Wayne  ,116894,1
39171,Williams,Williams  ,37102,1
39173,Wood,Wood  ,132248,1
39175,Wyandot,Wyandot  ,21900,1
