DeathYear,CountyName,Deaths,Population,SORT
2007,Adams,1,28538,0
2008,Adams,1,28686,2
2009,Adams,1,28500,4
2010,Adams,1,28530,6
2011,Adams,0,28454,8
2012,Adams,4,28288,10
2013,Adams,5,28085,12
2014,Adams,10,28060,14
2015,Adams,9,27919,16
2016,Adams,12,27817,18
2017,Adams,13,27747,20
2018,Adams,9,27685,22
2019,Adams,11,27640,24
2020,Adams,8,27531,26
2021 **,Adams,9,27531,28
2022 **,Adams,13,27531,30
2023 **,Adams,8,27531,32
2007,Allen,3,106717,36
2008,Allen,1,106773,38
2009,Allen,2,106518,40
2010,Allen,2,106342,42
2011,Allen,5,105981,44
2012,Allen,10,105251,46
2013,Allen,12,105071,48
2014,Allen,7,104886,50
2015,Allen,17,104141,52
2016,Allen,22,103691,54
2017,Allen,32,103173,56
2018,Allen,10,102747,58
2019,Allen,9,102450,60
2020,Allen,20,101980,62
2021 **,Allen,25,101980,64
2022 **,Allen,33,101980,66
2023 **,Allen,21,101980,68
2007,Ashland,2,53544,72
2008,Ashland,1,53499,74
2009,Ashland,4,53305,76
2010,Ashland,4,53317,78
2011,Ashland,4,53255,80
2012,Ashland,1,53245,82
2013,Ashland,3,53163,84
2014,Ashland,5,53169,86
2015,Ashland,6,53317,88
2016,Ashland,10,53487,90
2017,Ashland,7,53673,92
2018,Ashland,6,53727,94
2019,Ashland,5,53418,96
2020,Ashland,16,53362,98
2021 **,Ashland,12,53362,100
2022 **,Ashland,12,53362,102
2023 **,Ashland,11,53362,104
2007,Ashtabula,3,102156,108
2008,Ashtabula,2,101826,110
2009,Ashtabula,4,101584,112
2010,Ashtabula,4,101411,114
2011,Ashtabula,3,101100,116
2012,Ashtabula,14,100274,118
2013,Ashtabula,11,99779,120
2014,Ashtabula,20,99064,122
2015,Ashtabula,14,98443,124
2016,Ashtabula,39,98172,126
2017,Ashtabula,36,97773,128
2018,Ashtabula,22,97536,130
2019,Ashtabula,27,97088,132
2020,Ashtabula,35,96513,134
2021 **,Ashtabula,29,96513,136
2022 **,Ashtabula,26,96513,138
2023 **,Ashtabula,26,96513,140
2007,Athens,6,64102,144
2008,Athens,1,64546,146
2009,Athens,5,64618,148
2010,Athens,3,65175,150
2011,Athens,12,65092,152
2012,Athens,7,64633,154
2013,Athens,8,64628,156
2014,Athens,7,64833,158
2015,Athens,7,65949,160
2016,Athens,6,66402,162
2017,Athens,5,66587,164
2018,Athens,8,65673,166
2019,Athens,6,65582,168
2020,Athens,15,65481,170
2021 **,Athens,26,65481,172
2022 **,Athens,27,65481,174
2023 **,Athens,16,65481,176
2007,Auglaize,2,45977,180
2008,Auglaize,3,46167,182
2009,Auglaize,1,45996,184
2010,Auglaize,2,45914,186
2011,Auglaize,3,45758,188
2012,Auglaize,4,45787,190
2013,Auglaize,3,45820,192
2014,Auglaize,2,45756,194
2015,Auglaize,7,45754,196
2016,Auglaize,2,45772,198
2017,Auglaize,6,45756,200
2018,Auglaize,1,45728,202
2019,Auglaize,4,45610,204
2020,Auglaize,2,45680,206
2021 **,Auglaize,7,45680,208
2022 **,Auglaize,4,45680,210
2023 **,Auglaize,4,45680,212
2007,Belmont,0,70430,216
2008,Belmont,4,70356,218
2009,Belmont,2,70439,220
2010,Belmont,4,70337,222
2011,Belmont,1,70132,224
2012,Belmont,6,69728,226
2013,Belmont,1,69593,228
2014,Belmont,5,69403,230
2015,Belmont,10,69018,232
2016,Belmont,12,68642,234
2017,Belmont,10,68074,236
2018,Belmont,10,67492,238
2019,Belmont,16,66979,240
2020,Belmont,26,65932,242
2021 **,Belmont,13,65932,244
2022 **,Belmont,12,65932,246
2023 **,Belmont,18,65932,248
2007,Brown,4,44490,252
2008,Brown,3,44668,254
2009,Brown,3,44740,256
2010,Brown,5,44868,258
2011,Brown,6,44632,260
2012,Brown,6,44289,262
2013,Brown,12,44125,264
2014,Brown,10,43950,266
2015,Brown,24,43717,268
2016,Brown,13,43660,270
2017,Brown,25,43558,272
2018,Brown,25,43623,274
2019,Brown,13,43473,276
2020,Brown,17,43414,278
2021 **,Brown,23,43414,280
2022 **,Brown,19,43414,282
2023 **,Brown,21,43414,284
2007,Butler,32,361192,288
2008,Butler,40,364179,290
2009,Butler,53,366633,292
2010,Butler,44,369111,294
2011,Butler,55,370164,296
2012,Butler,46,370628,298
2013,Butler,93,371497,300
2014,Butler,139,373877,302
2015,Butler,182,376173,304
2016,Butler,197,378527,306
2017,Butler,238,380751,308
2018,Butler,153,382114,310
2019,Butler,148,383603,312
2020,Butler,182,385648,314
2021 **,Butler,174,385648,316
2022 **,Butler,179,385648,318
2023 **,Butler,119,385648,320
2007,Carroll,0,29062,324
2008,Carroll,2,28999,326
2009,Carroll,2,28917,328
2010,Carroll,0,28859,330
2011,Carroll,0,28832,332
2012,Carroll,3,28551,334
2013,Carroll,2,28272,336
2014,Carroll,3,28144,338
2015,Carroll,4,27729,340
2016,Carroll,3,27630,342
2017,Carroll,5,27329,344
2018,Carroll,3,27134,346
2019,Carroll,3,26984,348
2020,Carroll,7,26897,350
2021 **,Carroll,0,26897,352
2022 **,Carroll,3,26897,354
2023 **,Carroll,6,26897,356
2007,Champaign,1,40127,360
2008,Champaign,0,40263,362
2009,Champaign,1,40265,364
2010,Champaign,7,40078,366
2011,Champaign,6,39828,368
2012,Champaign,5,39579,370
2013,Champaign,6,39468,372
2014,Champaign,9,39089,374
2015,Champaign,6,38976,376
2016,Champaign,9,38760,378
2017,Champaign,16,38857,380
2018,Champaign,7,38799,382
2019,Champaign,7,38930,384
2020,Champaign,15,38960,386
2021 **,Champaign,12,38960,388
2022 **,Champaign,5,38960,390
2023 **,Champaign,8,38960,392
2007,Clark,13,139829,396
2008,Clark,13,139404,398
2009,Clark,15,138778,400
2010,Clark,15,138272,402
2011,Clark,35,137823,404
2012,Clark,32,137198,406
2013,Clark,28,136682,408
2014,Clark,34,136364,410
2015,Clark,68,135810,412
2016,Clark,70,134805,414
2017,Clark,87,134636,416
2018,Clark,64,134697,418
2019,Clark,47,134315,420
2020,Clark,52,133593,422
2021 **,Clark,76,133593,424
2022 **,Clark,60,133593,426
2023 **,Clark,50,133593,428
2007,Clermont,33,194346,432
2008,Clermont,32,195891,434
2009,Clermont,23,196512,436
2010,Clermont,46,197613,438
2011,Clermont,43,198886,440
2012,Clermont,54,199526,442
2013,Clermont,61,200504,444
2014,Clermont,75,201516,446
2015,Clermont,100,202077,448
2016,Clermont,91,203332,450
2017,Clermont,86,204456,452
2018,Clermont,72,205803,454
2019,Clermont,71,206851,456
2020,Clermont,69,207449,458
2021 **,Clermont,82,207449,460
2022 **,Clermont,67,207449,462
2023 **,Clermont,45,207449,464
2007,Clinton,0,42576,468
2008,Clinton,5,42656,470
2009,Clinton,6,42418,472
2010,Clinton,1,41922,474
2011,Clinton,2,41919,476
2012,Clinton,8,41829,478
2013,Clinton,9,41879,480
2014,Clinton,6,41824,482
2015,Clinton,19,41864,484
2016,Clinton,12,41923,486
2017,Clinton,28,42035,488
2018,Clinton,11,42119,490
2019,Clinton,12,42002,492
2020,Clinton,18,41921,494
2021 **,Clinton,19,41921,496
2022 **,Clinton,18,41921,498
2023 **,Clinton,16,41921,500
2007,Columbiana,5,109153,504
2008,Columbiana,4,108469,506
2009,Columbiana,0,107948,508
2010,Columbiana,2,107889,510
2011,Columbiana,3,107437,512
2012,Columbiana,9,106652,514
2013,Columbiana,6,106007,516
2014,Columbiana,10,105681,518
2015,Columbiana,8,104788,520
2016,Columbiana,10,103926,522
2017,Columbiana,15,103198,524
2018,Columbiana,9,102534,526
2019,Columbiana,10,101794,528
2020,Columbiana,19,101118,530
2021 **,Columbiana,17,101118,532
2022 **,Columbiana,5,101118,534
2023 **,Columbiana,9,101118,536
2007,Coshocton,1,37184,540
2008,Coshocton,2,36953,542
2009,Coshocton,0,36878,544
2010,Coshocton,1,36938,546
2011,Coshocton,1,36930,548
2012,Coshocton,1,36821,550
2013,Coshocton,3,36721,552
2014,Coshocton,1,36530,554
2015,Coshocton,3,36579,556
2016,Coshocton,2,36651,558
2017,Coshocton,3,36535,560
2018,Coshocton,4,36607,562
2019,Coshocton,3,36549,564
2020,Coshocton,13,36449,566
2021 **,Coshocton,8,36449,568
2022 **,Coshocton,4,36449,570
2023 **,Coshocton,9,36449,572
2007,Crawford,2,44634,576
2008,Crawford,2,44291,578
2009,Crawford,1,43921,580
2010,Crawford,2,43754,582
2011,Crawford,2,43310,584
2012,Crawford,3,42774,586
2013,Crawford,4,42715,588
2014,Crawford,8,42406,590
2015,Crawford,10,42327,592
2016,Crawford,7,42096,594
2017,Crawford,17,41733,596
2018,Crawford,12,41454,598
2019,Crawford,9,41396,600
2020,Crawford,12,41338,602
2021 **,Crawford,7,41338,604
2022 **,Crawford,10,41338,606
2023 **,Crawford,11,41338,608
2007,Cuyahoga,85,1301540,612
2008,Cuyahoga,111,1291479,614
2009,Cuyahoga,119,1285082,616
2010,Cuyahoga,134,1278103,618
2011,Cuyahoga,186,1270424,620
2012,Cuyahoga,191,1266271,622
2013,Cuyahoga,223,1265698,624
2014,Cuyahoga,234,1263498,626
2015,Cuyahoga,243,1259109,628
2016,Cuyahoga,504,1254324,630
2017,Cuyahoga,520,1247808,632
2018,Cuyahoga,392,1241788,634
2019,Cuyahoga,419,1235574,636
2020,Cuyahoga,421,1227883,638
2021 **,Cuyahoga,488,1227883,640
2022 **,Cuyahoga,485,1227883,642
2023 **,Cuyahoga,446,1227883,644
2007,Darke,3,52996,648
2008,Darke,2,52909,650
2009,Darke,4,52829,652
2010,Darke,2,52964,654
2011,Darke,3,52657,656
2012,Darke,8,52524,658
2013,Darke,6,52321,660
2014,Darke,9,52203,662
2015,Darke,13,52002,664
2016,Darke,19,51653,666
2017,Darke,27,51575,668
2018,Darke,14,51323,670
2019,Darke,9,51181,672
2020,Darke,15,51205,674
2021 **,Darke,12,51205,676
2022 **,Darke,12,51205,678
2023 **,Darke,8,51205,680
2007,Defiance,1,39123,684
2008,Defiance,0,39250,686
2009,Defiance,2,39060,688
2010,Defiance,1,39083,690
2011,Defiance,5,39015,692
2012,Defiance,2,38845,694
2013,Defiance,2,38587,696
2014,Defiance,4,38547,698
2015,Defiance,8,38349,700
2016,Defiance,5,38162,702
2017,Defiance,3,38158,704
2018,Defiance,4,38046,706
2019,Defiance,5,37978,708
2020,Defiance,9,37778,710
