zcta,ZIPName,ZCTA_pop,afact
ZIP census tabulation area,ZIP Code name,Total population (2020 Census),zcta-to-zcta allocation factor
 ,[not in a ZCTA],7,1
43001,"Alexandria, OH",2705,1
43002,"Columbus, OH",2026,1
43003,"Ashley, OH",2776,1
43004,"Columbus, OH",29982,1
43005,"Bladensburg, OH",282,1
43006,"Brinkhaven, OH",715,1
43007,"Broadway, OH",88,1
43008,"Buckeye Lake, OH",2378,1
43009,"Cable, OH",2083,1
43010,"Catawba, OH",245,1
43011,"Centerburg, OH",7559,1
43013,"Croton, OH",1220,1
43014,"Danville, OH",3850,1
43015,"Delaware, OH",57563,1
43016,"Dublin, OH",44517,1
43017,"Dublin, OH",43619,1
43018,"Etna, OH (PO Boxes)",373,1
43019,"Fredericktown, OH",9419,1
43021,"Galena, OH",14622,1
43022,"Gambier, OH",4120,1
43023,"Granville, OH",14462,1
43025,"Hebron, OH",5541,1
43026,"Hilliard, OH",64607,1
43027,"Homer, OH (PO Boxes)",58,1
43028,"Apple Valley, OH",7781,1
43029,"Irwin, OH",629,1
43030,"Jacksontown, OH (PO Boxes)",344,1
43031,"Johnstown, OH",13189,1
43032,"Kilbourne, OH",39,1
43033,"Kirkersville, OH",352,1
43035,"Lewis Center, OH",33032,1
43036,"Magnetic Springs, OH",267,1
43037,"Martinsburg, OH",323,1
43040,"Marysville, OH",35853,1
43044,"Mechanicsburg, OH",5352,1
43045,"Milford Center, OH",1928,1
43046,"Millersport, OH",3195,1
43047,"Mingo, OH (PO Boxes)",31,1
43050,"Mount Vernon, OH",29594,1
43054,"Columbus, OH",27781,1
43055,"Newark, OH",62590,1
43056,"Heath, OH",17479,1
43060,"North Lewisburg, OH",2667,1
43061,"Ostrander, OH",4593,1
43062,"Pataskala, OH",32125,1
43064,"Plain City, OH",17301,1
43065,"Powell, OH",44829,1
43066,"Radnor, OH",1264,1
43067,"Raymond, OH",1410,1
43068,"Reynoldsburg, OH",59585,1
43070,"Rosewood, OH",158,1
43071,"Saint Louisville, OH",2442,1
43072,"Saint Paris, OH",5504,1
43074,"Sunbury, OH",15288,1
43076,"Thornville, OH",9145,1
43077,"Unionville Center, OH",241,1
43078,"Urbana, OH",20067,1
43080,"Utica, OH",5321,1
43081,"Westerville, OH",64338,1
43082,"Westerville, OH",32459,1
43084,"Woodstock, OH",844,1
43085,"Worthington, OH",25566,1
43101,"Adelphi, OH",322,1
43102,"Amanda, OH",4610,1
43103,"Ashville, OH",12282,1
43105,"Baltimore, OH",8458,1
43106,"Bloomingburg, OH",1590,1
43107,"Bremen, OH",3232,1
43109,"Brice, OH",94,1
43110,"Columbus, OH",40953,1
43111,"Carbon Hill, OH",178,1
43112,"Carroll, OH",5052,1
43113,"Circleville, OH",24165,1
43115,"Clarksburg, OH",1260,1
43116,"Commercial Point, OH",2732,1
43117,"Derby, OH (PO Boxes)",31,1
43119,"Columbus, OH",30072,1
43123,"Grove City, OH",66188,1
43125,"Groveport, OH",14295,1
43126,"Harrisburg, OH",322,1
43127,"Haydenville, OH",284,1
43128,"Jeffersonville, OH",2267,1
43130,"Lancaster, OH",62010,1
43135,"Laurelville, OH",4267,1
43136,"Lithopolis, OH",1977,1
43137,"Lockbourne, OH",2684,1
43138,"Logan, OH",18445,1
43140,"London, OH",24030,1
43142,"Milledgeville, OH",94,1
43143,"Mount Sterling, OH",5935,1
43144,"Murray City, OH",373,1
43145,"New Holland, OH",1920,1
43146,"Orient, OH",12627,1
43147,"Pickerington, OH",45281,1
43148,"Pleasantville, OH",2431,1
43149,"Rockbridge, OH",2335,1
43150,"Rushville, OH",2302,1
43151,"Midway, OH",269,1
43152,"South Bloomingville, OH",969,1
43153,"South Solon, OH",861,1
43154,"Stoutsville, OH",3014,1
43155,"Sugar Grove, OH",2531,1
43156,"Tarlton, OH",203,1
43157,"Thurston, OH",599,1
